,datetime,charge_solar,charge_load,discharge_size,current_solar,current_controlled_load_consumption,current_general_electricity_consumption,current_charge,reward
0,2013-01-14 00:00:00,0.24358946084976196,0.03382822871208191,1.0,0.0,0.0,0.073,0.8931717712879181,-0.0
1,2013-01-14 00:30:00,0.7578809857368469,0.2038935273885727,1.0,0.0,0.0,0.115,0.894762930035591,-0.0
2,2013-01-14 01:00:00,0.02425627037882805,0.2528783082962036,0.949189305305481,0.0,1.094,0.024,0.05081069469451904,-0.02520148630619048
3,2013-01-14 01:30:00,0.41661524772644043,0.021712249144911766,1.0,0.0,1.263,0.126,0.0,-0.06249122491449117
4,2013-01-14 02:00:00,0.5339100956916809,0.016856594011187553,1.0,0.0,1.25,0.319,0.0,-0.11281565940111876
5,2013-01-14 02:30:00,0.8491664528846741,0.0,1.0,0.0,0.35600000000000004,0.055,0.5889999999999999,-0.0
6,2013-01-14 03:00:00,0.24612504243850708,0.5813480019569397,1.0,0.0,0.669,0.189,0.38265199804306044,-0.0
7,2013-01-14 03:30:00,0.1393650621175766,0.7684130072593689,0.7813430428504944,0.0,0.45,0.7390000000000001,0.27728299665451006,-0.0
8,2013-01-14 04:00:00,0.6018571853637695,0.9215211868286133,0.7639209628105164,0.0,0.0,0.7559999999999999,0.7679128198623667,-0.0
9,2013-01-14 04:30:00,0.020146289840340614,0.5089083909988403,0.9684170484542847,0.0,0.444,0.083,0.4282659692764261,-0.0
10,2013-01-14 05:00:00,0.17504574358463287,0.6769490242004395,0.775642991065979,0.0,0.513,0.364,0.5895190372467083,-0.0
11,2013-01-14 05:30:00,0.23333707451820374,0.5597763657569885,0.9822865128517151,0.0,0.0,0.823,0.43818555974959494,-0.0
12,2013-01-14 06:00:00,0.42607760429382324,0.8095800876617432,0.795484185218811,0.0,0.0,0.6729999999999999,0.641048792839067,-0.0
13,2013-01-14 06:30:00,0.04421459510922432,0.7294650673866272,0.9598709344863892,0.0,0.0,0.833,0.15543734693523892,-0.0
14,2013-01-14 07:00:00,1.0,0.9242479801177979,0.6699000000953674,0.05,0.0,0.848,0.8168773260117245,-0.0
15,2013-01-14 07:30:00,0.013458924368023872,0.4432303309440613,0.9758710265159607,0.106,0.0,0.7659999999999999,0.22263824392841824,-0.0
16,2013-01-14 08:00:00,0.6687353253364563,1.0,0.8995374441146851,0.206,0.0,0.855,0.2877235121431636,-0.0
17,2013-01-14 08:30:00,0.8693056106567383,1.0,0.9183174967765808,0.238,0.0,0.122,0.8265529757136728,-0.0
18,2013-01-14 09:00:00,0.40229350328445435,0.375135213136673,0.9989129304885864,0.213,0.0,0.292,0.5063118111496541,-0.0
19,2013-01-14 09:30:00,0.9446184039115906,0.26101624965667725,0.998334527015686,0.238,0.0,0.104,1.0,-0.0
20,2013-01-14 10:00:00,0.9682245254516602,0.31786012649536133,0.9881952404975891,0.463,0.0,0.282,0.4001398735046387,-0.0
21,2013-01-14 10:30:00,0.85603266954422,0.4836423397064209,0.9598292708396912,0.363,0.0,0.269,0.7210779132843018,-0.0
22,2013-01-14 11:00:00,0.9722588658332825,0.22796645760536194,0.9596878290176392,1.131,0.0,1.15,0.33861884999275205,-0.0
23,2013-01-14 11:30:00,0.3502402603626251,1.0,0.8314396142959595,1.519,0.0,0.624,1.0,-0.0
24,2013-01-14 12:00:00,0.062004078179597855,0.34092921018600464,0.7017383575439453,1.619,0.0,0.158,1.0,-0.0
25,2013-01-14 12:30:00,0.8122280240058899,0.9843087196350098,0.926694929599762,1.538,0.0,0.379,0.36246325635910037,-0.0
26,2013-01-14 13:00:00,0.016317211091518402,0.9905974268913269,0.75445955991745,1.763,0.0,0.145,1.0,-0.0
27,2013-01-14 13:30:00,0.8528329133987427,0.9942759275436401,0.986415684223175,1.781,0.0,0.058,0.875891159057617,-0.0
28,2013-01-14 14:00:00,0.9251512289047241,0.9404430389404297,0.8967136144638062,1.769,0.0,0.099,1.0,-0.0
29,2013-01-14 14:30:00,0.9505640864372253,0.8689592480659485,0.880897581577301,1.719,0.0,0.122,0.7774766654968263,-0.0
30,2013-01-14 15:00:00,0.6937514543533325,0.9730103611946106,0.8811470866203308,1.663,0.0,0.036000000000000004,1.0,-0.0
31,2013-01-14 15:30:00,0.9893128275871277,0.03659133240580559,0.7968242764472961,1.519,0.0,0.619,0.8740958400070666,-0.0
32,2013-01-14 16:00:00,0.9853668212890625,0.0,0.9985998868942261,1.138,0.0,0.135,1.0,-0.0
33,2013-01-14 16:30:00,0.8866435885429382,0.9002510905265808,0.9684334397315979,1.075,0.0,0.081,0.2071053209304809,-0.0
34,2013-01-14 17:00:00,0.40319690108299255,0.9558467864990234,0.8988476395606995,0.525,0.0,0.25,0.6953518683910371,-0.0
35,2013-01-14 17:30:00,0.8072807788848877,0.2847652733325958,0.9454623460769653,0.863,0.0,0.161,1.0,-0.0
36,2013-01-14 18:00:00,0.514471709728241,0.8515353798866272,0.973003625869751,0.775,0.0,0.146,0.26299291038513173,-0.0
37,2013-01-14 18:30:00,0.19585171341896057,0.954637885093689,0.8709104657173157,0.188,0.0,0.154,0.9893762941360474,-0.0
38,2013-01-14 19:00:00,0.1159394308924675,0.29571446776390076,0.9902624487876892,0.106,0.0,0.4370000000000001,0.2779092381000516,-0.0
39,2013-01-14 19:30:00,0.6689844131469727,0.9581522941589355,0.8440515398979187,0.063,0.0,0.218,1.0,-0.0
40,2013-01-14 20:00:00,0.0677674412727356,0.29454150795936584,0.9966043829917908,0.019,0.0,0.241,0.46445849204063416,-0.0
