,datetime,charge_solar,charge_load,discharge_size,current_solar,current_controlled_load_consumption,current_general_electricity_consumption,current_charge,reward
0,2013-01-14 00:00:00,0.24727027118206024,0.01255576778203249,0.24924544990062714,0.0,0.0,0.073,0.16368968211859464,-0.0
1,2013-01-14 00:30:00,0.04289320483803749,0.030947266146540642,0.35517558455467224,0.0,0.0,0.115,0.2092283184081316,-0.0
2,2013-01-14 01:00:00,0.07147268950939178,0.058897003531455994,0.38107192516326904,0.0,1.094,0.024,0.0,-0.08366250783681871
3,2013-01-14 01:30:00,0.0018634567968547344,0.016811762005090714,0.4000000059604645,0.0,1.263,0.126,0.0,-0.12200117560446261
4,2013-01-14 02:00:00,0.00314765190705657,0.01692221686244011,0.4000000059604645,0.0,1.25,0.319,0.0,-0.17282222109019757
5,2013-01-14 02:30:00,0.007898624055087566,0.026255866512656212,0.4000000059604645,0.0,0.35600000000000004,0.055,0.0,-0.01005908234909178
6,2013-01-14 03:00:00,0.17070555686950684,0.018731463700532913,0.11890826374292374,0.0,0.669,0.189,0.0,-0.10791231999576092
7,2013-01-14 03:30:00,0.0,0.030776944011449814,0.13502097129821777,0.0,0.45,0.7390000000000001,0.0,-0.23410559727132324
8,2013-01-14 04:00:00,0.13342630863189697,0.011054088361561298,0.3641941547393799,0.0,0.0,0.7559999999999999,0.0,-0.10877218207798896
9,2013-01-14 04:30:00,0.22001013159751892,0.021025829017162323,0.4000000059604645,0.0,0.444,0.083,0.0,-0.028912582305669787
10,2013-01-14 05:00:00,0.0614812970161438,0.008879530243575573,0.12040334939956665,0.0,0.513,0.364,0.0,-0.1384276180844009
11,2013-01-14 05:30:00,0.0806114673614502,0.003738709958270192,0.4000000059604645,0.0,0.0,0.823,0.0,-0.11521945007940754
12,2013-01-14 06:00:00,0.21499401330947876,0.01691664569079876,0.4000000059604645,0.0,0.0,0.6729999999999999,0.0,-0.07827749272719024
13,2013-01-14 06:30:00,0.0786111131310463,0.03682015463709831,0.39493316411972046,0.0,0.0,0.833,0.0,-0.12821948743969203
14,2013-01-14 07:00:00,0.30693185329437256,0.044365234673023224,0.4000000059604645,0.05,0.0,0.848,0.0,-0.13293861175239086
15,2013-01-14 07:30:00,0.1532277762889862,0.019710423424839973,0.38940030336380005,0.106,0.0,0.7659999999999999,0.0,-0.10700373241648076
16,2013-01-14 08:00:00,0.04117303341627121,0.0,0.3963179886341095,0.206,0.0,0.855,0.0,-0.07934086209118367
17,2013-01-14 08:30:00,0.009982059709727764,0.0,0.3156900703907013,0.238,0.0,0.122,0.4,-0.0
18,2013-01-14 09:00:00,0.3758627772331238,0.0,0.3113883137702942,0.213,0.0,0.292,0.10800000000000004,-0.0
19,2013-01-14 09:30:00,0.19657768309116364,0.0,0.17971181869506836,0.238,0.0,0.104,0.24200000000000005,-0.0
20,2013-01-14 10:00:00,0.2401437610387802,0.014078381471335888,0.2646923363208771,0.463,0.0,0.282,0.4,-0.0
21,2013-01-14 10:30:00,0.31884342432022095,0.0,0.24643005430698395,0.363,0.0,0.269,0.17515657567977905,-0.0
22,2013-01-14 11:00:00,0.16394565999507904,0.2718604803085327,0.10531841218471527,1.131,0.0,1.15,0.29468158781528475,-0.06147689385652542
23,2013-01-14 11:30:00,0.07026400417089462,0.0,0.32168859243392944,1.519,0.0,0.624,0.4,-0.0
24,2013-01-14 12:00:00,0.004427250009030104,0.0,0.39470964670181274,1.619,0.0,0.158,0.4,-0.0
25,2013-01-14 12:30:00,3.2547744922339916e-05,0.0,0.13980719447135925,1.538,0.0,0.379,0.4,-0.0
26,2013-01-14 13:00:00,0.0,0.0,0.39236700534820557,1.763,0.0,0.145,0.4,-0.0
27,2013-01-14 13:30:00,0.0,0.0,0.2880410850048065,1.781,0.0,0.058,0.4,-0.0
28,2013-01-14 14:00:00,0.0,0.0013877630699425936,0.0,1.769,0.0,0.099,0.4,-0.0
29,2013-01-14 14:30:00,0.002138611162081361,0.0,0.051740072667598724,1.719,0.0,0.122,0.4,-0.0
30,2013-01-14 15:00:00,0.0,0.01420819852501154,0.13875144720077515,1.663,0.0,0.036000000000000004,0.4,-0.0
31,2013-01-14 15:30:00,0.0,0.01864774152636528,0.011005093343555927,1.519,0.0,0.619,0.4,-0.0
32,2013-01-14 16:00:00,0.012396190315485,0.011854873038828373,0.4000000059604645,1.138,0.0,0.135,0.4,-0.0
33,2013-01-14 16:30:00,0.18663503229618073,0.010977988131344318,0.1250077337026596,1.075,0.0,0.081,0.4,-0.0
34,2013-01-14 17:00:00,0.1867040991783142,0.009689252823591232,0.1381884217262268,0.525,0.0,0.25,0.4,-0.0
35,2013-01-14 17:30:00,0.30081430077552795,0.030396537855267525,0.2521393895149231,0.863,0.0,0.161,0.4,-0.0
36,2013-01-14 18:00:00,0.14538371562957764,0.012127356603741646,0.15591862797737122,0.775,0.0,0.146,0.4,-0.0
37,2013-01-14 18:30:00,0.12263404577970505,0.025059988722205162,0.12957698106765747,0.188,0.0,0.154,0.28630596549808984,-0.0
38,2013-01-14 19:00:00,0.058924369513988495,0.07727073132991791,0.35890939831733704,0.106,0.0,0.4370000000000001,0.04234422913193686,-0.0
39,2013-01-14 19:30:00,0.18465065956115723,0.01952417381107807,0.0039052977226674557,0.063,0.0,0.218,0.12096310522034748,-0.06042188760884106
40,2013-01-14 20:00:00,0.11365465819835663,0.12030132859945297,0.2475670874118805,0.019,0.0,0.241,0.012697346407919974,-0.03070824512064457
