episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-87.87406022709781,-87.87406022709781,-87.87406022709781,2352.0,1,1,2500,2500,False,1,1,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-02-39,1617307359,82.46089315414429,82.46089315414429,32382,alexanders-mbp.lan,192.168.86.244,82.46089315414429,0,1,ddc80_00017,[-87.87406022709781],[2352],0.678709724911305,1.3584402359661605,0.17694395477892827,1.8354051354311791,0.0,7.532,33990.251,4.699,2500,2500,256256,256256,2500,1001,74.117094017094,59.93589743589744,-0.16337325,-0.058497936,-0.43243474
-42.43447444150184,-87.87406022709781,-65.15426733429983,2352.0,1,1,5000,5000,False,2,2,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-05-44,1617307544,185.18025302886963,267.6411461830139,32382,alexanders-mbp.lan,192.168.86.244,267.6411461830139,0,2,ddc80_00017,"[-42.43447444150184, -87.87406022709781]","[2352, 2352]",0.6834418096459873,1.3516423676182363,0.17737626798825357,1.7939047667746792,0.0,6.894,37132.753,3.906,5000,5000,896256,896256,5000,3501,65.8272030651341,59.756321839080464,-0.22101894,-0.08070431,-0.5287932
-38.7369728392733,-87.87406022709781,-56.348502502624314,2352.0,1,1,7500,7500,False,3,3,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-08-59,1617307739,194.6140480041504,462.2551941871643,32382,alexanders-mbp.lan,192.168.86.244,462.2551941871643,0,3,ddc80_00017,"[-38.7369728392733, -87.87406022709781, -42.43447444150184]","[2352, 2352, 2352]",0.6891038463577207,1.3527115311503926,0.17813006930793188,1.7756026182801623,0.0,10.184,25138.407,4.734,7500,7500,1536256,1536256,7500,6001,77.82956204379562,59.04817518248176,-0.2177698,-0.029413965,-0.98113257
-36.9998637268818,-87.87406022709781,-51.51134280868869,2352.0,1,1,10000,10000,False,4,4,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-12-18,1617307938,199.4557490348816,661.7109432220459,32382,alexanders-mbp.lan,192.168.86.244,661.7109432220459,0,4,ddc80_00017,"[-36.9998637268818, -87.87406022709781, -42.43447444150184, -38.7369728392733]","[2352, 2352, 2352, 2352]",0.6924138649218774,1.3529618364315914,0.17855598085691815,1.763914380114203,0.0,13.796,18555.436,6.751,10000,10000,2176256,2176256,10000,8501,81.2153024911032,58.58683274021353,-0.20940119,0.041216746,-0.5084975
-36.9998637268818,-87.87406022709781,-49.19700460066299,2352.0,1,1,12500,12500,False,5,5,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-15-45,1617308145,206.50903701782227,868.2199802398682,32382,alexanders-mbp.lan,192.168.86.244,868.2199802398682,0,5,ddc80_00017,"[-39.93965176856021, -87.87406022709781, -42.43447444150184, -38.7369728392733, -36.9998637268818]","[2352, 2352, 2352, 2352, 2352]",0.695433447438759,1.3542110145157353,0.17909693898706733,1.7559886429982767,0.0,11.098,23068.203,5.003,12500,12500,2816256,2816256,12500,11001,82.1,58.51065292096221,-0.22750208,0.020981807,-0.72473186
-34.50400737606497,-87.87406022709781,-46.748171729896654,2352.0,1,1,15000,15000,False,6,6,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-19-09,1617308349,203.75344681739807,1071.9734270572662,32382,alexanders-mbp.lan,192.168.86.244,1071.9734270572662,0,6,ddc80_00017,"[-34.50400737606497, -87.87406022709781, -42.43447444150184, -38.7369728392733, -36.9998637268818, -39.93965176856021]","[2352, 2352, 2352, 2352, 2352, 2352]",0.6976435722127539,1.3554058938139235,0.1794387414186359,1.7495545439332956,0.0,9.433,27137.924,3.851,15000,15000,3456256,3456256,15000,13501,85.37430555555555,58.44166666666667,-0.23834175,0.019030452,-0.6000662
-32.66678127255438,-87.87406022709781,-44.73654452170491,2352.0,1,1,17500,17500,False,7,7,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-22-34,1617308554,205.15181374549866,1277.125240802765,32382,alexanders-mbp.lan,192.168.86.244,1277.125240802765,0,7,ddc80_00017,"[-32.66678127255438, -87.87406022709781, -42.43447444150184, -38.7369728392733, -36.9998637268818, -39.93965176856021, -34.50400737606497]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6999958184041406,1.3569306300886386,0.179798856169846,1.74535144792822,0.0,8.908,28736.951,3.91,17500,17500,4096256,4096256,17500,16001,85.58788927335641,58.34532871972319,-0.2525536,-0.013501041,-0.601026
-31.844508036228763,-87.87406022709781,-43.125039961020384,2352.0,1,1,20000,20000,False,8,8,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-25-58,1617308758,203.31436896324158,1480.4396097660065,32382,alexanders-mbp.lan,192.168.86.244,1480.4396097660065,0,8,ddc80_00017,"[-31.844508036228763, -87.87406022709781, -42.43447444150184, -38.7369728392733, -36.9998637268818, -39.93965176856021, -34.50400737606497, -32.66678127255438]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7016615266636772,1.3581602857865296,0.18004149102489503,1.7420459102154349,0.0,9.402,27229.041,4.396,20000,20000,4736256,4736256,20000,18501,85.8142857142857,58.013240418118464,-0.24229608,0.06298719,-0.52790916
-31.844508036228763,-87.87406022709781,-41.923100026339306,2352.0,1,1,22500,22500,False,9,9,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-29-22,1617308962,203.7675700187683,1684.2071797847748,32382,alexanders-mbp.lan,192.168.86.244,1684.2071797847748,0,9,ddc80_00017,"[-32.30758054889064, -87.87406022709781, -42.43447444150184, -38.7369728392733, -36.9998637268818, -39.93965176856021, -34.50400737606497, -32.66678127255438, -31.844508036228763]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7029010523753761,1.3591650680382175,0.18025082155415306,1.7394088440975455,0.0,9.251,27673.758,5.66,22500,22500,5376256,5376256,22500,21001,80.32439024390243,57.31637630662021,-0.23707905,0.07679478,-0.66220856
-29.550638763661723,-87.87406022709781,-40.68585390007154,2352.0,1,1,25000,25000,False,10,10,5041a7537ed244f199b03f0504a16f44,2021-04-01_21-32-47,1617309167,204.49032592773438,1888.6975057125092,32382,alexanders-mbp.lan,192.168.86.244,1888.6975057125092,0,10,ddc80_00017,"[-29.550638763661723, -87.87406022709781, -42.43447444150184, -38.7369728392733, -36.9998637268818, -39.93965176856021, -34.50400737606497, -32.66678127255438, -31.844508036228763, -32.30758054889064]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7040116279071775,1.3599383069624378,0.1804211318451859,1.7370765290379488,0.0,9.662,26495.004,6.694,25000,25000,6016256,6016256,25000,23501,80.80761245674739,57.36124567474049,-0.24890931,0.082802445,-0.5876798
