episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-32.67776493091371,-77.3427339036543,-41.06376600566961,2352.0,1,1,27500,27500,False,11,11,de7224d009bd45c18af51ea88124108d,2021-04-05_01-33-28,1617582808,197.87868809700012,2044.1573338508606,80216,alexanders-mbp.lan,192.168.86.250,2044.1573338508606,0,11,e1727_00014,"[-33.50205788731354, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7366889969286551,1.3885461359271727,0.18538586874943117,1.8579221768421303,0.0,7.033,36401.853,5.163,27500,27500,6656256,6656256,27500,26001,78.76007194244605,58.314388489208646,-0.30693153,-0.08238165,-0.7412883
-31.815030071407403,-77.3427339036543,-40.293038011147765,2352.0,1,1,30000,30000,False,12,12,de7224d009bd45c18af51ea88124108d,2021-04-05_01-36-45,1617583005,196.54699683189392,2240.7043306827545,80216,alexanders-mbp.lan,192.168.86.250,2240.7043306827545,0,12,e1727_00014,"[-31.815030071407403, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7355564834495602,1.3869614851261218,0.18525996655167135,1.8528202209507467,0.0,8.468,30231.856,6.045,30000,30000,7296256,7296256,30000,28501,76.99133574007222,58.39494584837545,-0.3272202,-0.08422026,-0.74301916
-31.815030071407403,-77.3427339036543,-39.71358399579764,2352.0,1,1,32500,32500,False,13,13,de7224d009bd45c18af51ea88124108d,2021-04-05_01-40-05,1617583205,199.8287160396576,2440.533046722412,80216,alexanders-mbp.lan,192.168.86.250,2440.533046722412,0,13,e1727_00014,"[-32.7601358115961, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7345944599871265,1.3855156280098302,0.18513348831722354,1.848285522084661,0.0,8.443,30321.925,4.392,32500,32500,7936256,7936256,32500,31001,65.31560283687944,58.53120567375886,-0.38781017,-0.14002028,-0.7902573
-31.815030071407403,-77.3427339036543,-39.15393059529071,2352.0,1,1,35000,35000,False,14,14,de7224d009bd45c18af51ea88124108d,2021-04-05_01-43-29,1617583409,203.33562922477722,2643.8686759471893,80216,alexanders-mbp.lan,192.168.86.250,2643.8686759471893,0,14,e1727_00014,"[-31.87843638870063, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7338516170992081,1.3842721456059868,0.18502441440987558,1.8443935094320196,0.0,7.433,34442.179,5.923,35000,35000,8576256,8576256,35000,33501,79.01881533101046,58.47386759581882,-0.37892655,-0.14469035,-0.80845267
-31.815030071407403,-77.3427339036543,-38.71529916684271,2352.0,1,1,37500,37500,False,15,15,de7224d009bd45c18af51ea88124108d,2021-04-05_01-46-50,1617583610,201.06932401657104,2844.9379999637604,80216,alexanders-mbp.lan,192.168.86.250,2844.9379999637604,0,15,e1727_00014,"[-32.57445916857078, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961, -31.87843638870063]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.73312062573802,1.383155056788099,0.18492333394186913,1.8408728995842587,0.0,4.487,57047.473,3.226,37500,37500,9216256,9216256,37500,36001,79.92402826855124,58.15441696113074,-0.42840314,-0.19719769,-0.8793995
-31.815030071407403,-77.3427339036543,-38.201309506760914,2352.0,2,1,40000,40000,False,17,16,de7224d009bd45c18af51ea88124108d,2021-04-05_01-50-13,1617583813,202.68056988716125,3047.6185698509216,80216,alexanders-mbp.lan,192.168.86.250,3047.6185698509216,0,16,e1727_00014,"[-34.785593876529184, -33.90718023576571, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961, -31.87843638870063, -32.57445916857078]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7334347274553407,1.381323018588909,0.1847523985492156,1.8349029846203433,0.0,7.452,34354.132,4.703,40000,40000,9856256,9856256,40000,38501,72.08245614035087,58.246315789473684,-0.43812352,-0.20537595,-0.79940206
-29.96098989387663,-77.3427339036543,-37.74351397271179,2352.0,1,1,42500,42500,False,18,17,de7224d009bd45c18af51ea88124108d,2021-04-05_01-53-35,1617584015,202.2552740573883,3249.87384390831,80216,alexanders-mbp.lan,192.168.86.250,3249.87384390831,0,17,e1727_00014,"[-29.96098989387663, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961, -31.87843638870063, -32.57445916857078, -34.785593876529184, -33.90718023576571]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.73350056395953,1.3806285151172644,0.18468440529327637,1.8323911348919526,0.0,7.069,36214.256,4.483,42500,42500,10496256,10496256,42500,41001,78.12482517482516,58.06993006993007,-0.43851364,-0.19679801,-0.79983634
-29.96098989387663,-77.3427339036543,-37.463299825888896,2352.0,1,1,45000,45000,False,19,18,de7224d009bd45c18af51ea88124108d,2021-04-05_01-56-55,1617584215,199.90493202209473,3449.7787759304047,80216,alexanders-mbp.lan,192.168.86.250,3449.7787759304047,0,18,e1727_00014,"[-32.419445183076675, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961, -31.87843638870063, -32.57445916857078, -34.785593876529184, -33.90718023576571, -29.96098989387663]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.733485648978551,1.3799568941880354,0.18461498745573926,1.8299858099003445,0.0,5.441,47052.459,3.649,45000,45000,11136256,11136256,45000,43501,75.49857651245551,58.06832740213523,-0.4856078,-0.24925537,-0.8031045
-29.96098989387663,-77.3427339036543,-37.10681898198023,2352.0,1,1,47500,47500,False,20,19,de7224d009bd45c18af51ea88124108d,2021-04-05_02-00-17,1617584417,200.84614396095276,3650.6249198913574,80216,alexanders-mbp.lan,192.168.86.250,3650.6249198913574,0,19,e1727_00014,"[-30.333682947715836, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961, -31.87843638870063, -32.57445916857078, -34.785593876529184, -33.90718023576571, -29.96098989387663, -32.419445183076675]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.7334250729727304,1.3793037293193033,0.1845494177293457,1.827774856749294,0.0,8.437,30344.205,5.719,47500,47500,11776256,11776256,47500,46001,81.1112676056338,57.751056338028164,-0.4909052,-0.23911026,-1.0677346
-29.069048026362932,-77.3427339036543,-36.7240679840937,2352.0,1,1,50000,50000,False,21,20,de7224d009bd45c18af51ea88124108d,2021-04-05_02-03-42,1617584622,204.80190587043762,3855.426825761795,80216,alexanders-mbp.lan,192.168.86.250,3855.426825761795,0,20,e1727_00014,"[-29.069048026362932, -77.3427339036543, -35.08554665896721, -43.43865590420564, -38.068795889191506, -42.137806172343055, -37.918449988317406, -36.18199984480873, -34.17694142650406, -41.17067345614656, -32.67776493091371, -33.50205788731354, -31.815030071407403, -32.7601358115961, -31.87843638870063, -32.57445916857078, -34.785593876529184, -33.90718023576571, -29.96098989387663, -32.419445183076675, -30.333682947715836]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.733367288260641,1.3787567009385864,0.18449160190217714,1.825799522515205,0.0,6.447,39706.45,4.448,50000,50000,12416256,12416256,50000,48501,80.41211072664359,57.74359861591696,-0.51025283,-0.30367398,-0.85591394
