episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-74.94291487486778,-74.94291487486778,-74.94291487486778,2352.0,1,1,2500,False,1,1,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-25-02,1617564302,101.8361086845398,101.8361086845398,54563,alexanders-mbp.lan,192.168.86.250,101.8361086845398,0,1,2ffd1_00005,[-74.94291487486778],[2352],2.2931948322050575,0.7975856479002638,1.3611066918142412,0.17016909209216705,9.977,25660.163,6.087,2500,256256,2500,1001,72.79652777777778,59.50833333333334,-0.11012544,0.044924196,-0.42926657
-31.517304067022966,-74.94291487486778,-53.23010947094537,2352.0,1,1,5000,False,2,2,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-28-58,1617564538,235.50778484344482,337.3438935279846,54563,alexanders-mbp.lan,192.168.86.250,337.3438935279846,0,2,2ffd1_00005,"[-31.517304067022966, -74.94291487486778]","[2352, 2352]",2.373559565138481,0.8128829414124793,1.4242992929533682,0.17846739688070176,10.306,24840.874,6.374,5000,896256,5000,3501,80.63622754491018,59.274251497005984,-0.14431134,0.009495805,-0.48400816
-30.592156910440917,-74.94291487486778,-45.68412528411056,2352.0,1,1,7500,False,3,3,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-33-01,1617564781,243.4215338230133,580.7654273509979,54563,alexanders-mbp.lan,192.168.86.250,580.7654273509979,0,3,2ffd1_00005,"[-30.592156910440917, -74.94291487486778, -31.517304067022966]","[2352, 2352, 2352]",2.4216218681374806,0.8248354033949313,1.461958254929077,0.1834367823414079,12.249,20900.166,5.709,7500,1536256,7500,6001,83.51520467836257,59.40672514619882,-0.1434457,0.038712684,-0.48517787
-22.20115444830449,-74.94291487486778,-39.81338257515904,2352.0,1,1,10000,False,4,4,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-37-11,1617565031,249.41539025306702,830.1808176040649,54563,alexanders-mbp.lan,192.168.86.250,830.1808176040649,0,4,2ffd1_00005,"[-22.20115444830449, -74.94291487486778, -31.517304067022966, -30.592156910440917]","[2352, 2352, 2352, 2352]",2.458610731673563,0.8338851601712299,1.489762641888256,0.1869873758491681,14.933,17142.895,6.915,10000,2176256,10000,8501,71.20539772727274,58.744034090909096,-0.15593676,0.042014804,-0.5336013
-22.20115444830449,-74.94291487486778,-37.0765804084945,2352.0,1,1,12500,False,5,5,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-41-20,1617565280,248.53182196617126,1078.7126395702362,54563,alexanders-mbp.lan,192.168.86.250,1078.7126395702362,0,5,2ffd1_00005,"[-26.12937174183634, -74.94291487486778, -31.517304067022966, -30.592156910440917, -22.20115444830449]","[2352, 2352, 2352, 2352, 2352]",2.4848494983193277,0.8432748400063332,1.5099201970830691,0.18947006445324427,8.489,30157.56,5.826,12500,2816256,12500,11001,69.04371428571429,57.70114285714285,-0.13360325,0.032311015,-0.41732678
-22.20115444830449,-74.94291487486778,-34.61439887076583,2352.0,1,1,15000,False,6,6,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-45-25,1617565525,245.2487609386444,1323.9614005088806,54563,alexanders-mbp.lan,192.168.86.250,1323.9614005088806,0,6,2ffd1_00005,"[-22.303491182122524, -74.94291487486778, -31.517304067022966, -30.592156910440917, -22.20115444830449, -26.12937174183634]","[2352, 2352, 2352, 2352, 2352, 2352]",2.5047902590037507,0.850005672381631,1.5259154599896523,0.19140454481282776,10.436,24529.326,6.426,15000,3456256,15000,13501,74.83971014492754,57.92927536231885,-0.1512045,0.007390037,-0.5369622
-20.7797146125588,-74.94291487486778,-32.638015405307684,2352.0,1,1,17500,False,7,7,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-49-28,1617565768,242.51707696914673,1566.4784774780273,54563,alexanders-mbp.lan,192.168.86.250,1566.4784774780273,0,7,2ffd1_00005,"[-20.7797146125588, -74.94291487486778, -31.517304067022966, -30.592156910440917, -22.20115444830449, -26.12937174183634, -22.303491182122524]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.51834424946036,0.8550668256126384,1.5372925878055332,0.19281863525073614,12.281,20845.389,6.069,17500,4096256,17500,16001,81.97947214076247,58.077712609970675,-0.12832457,0.029457092,-0.4707111
-20.7797146125588,-74.94291487486778,-31.23906261551015,2352.0,1,1,20000,False,8,8,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-53-28,1617566008,240.30431699752808,1806.7827944755554,54563,alexanders-mbp.lan,192.168.86.250,1806.7827944755554,0,8,2ffd1_00005,"[-21.446393086927397, -74.94291487486778, -31.517304067022966, -30.592156910440917, -22.20115444830449, -26.12937174183634, -22.303491182122524, -20.7797146125588]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.5279187042678153,0.8588898364926117,1.5455357634438682,0.19381359682916816,11.27,22714.503,5.631,20000,4736256,20000,18501,80.75221238938053,57.42920353982302,-0.11879723,0.052077852,-0.3934367
-19.798150526933146,-74.94291487486778,-29.96785016122382,2352.0,1,1,22500,False,9,9,dc3cd53d205a480f95c4827b87254a10,2021-04-04_20-57-30,1617566250,241.67051100730896,2048.4533054828644,54563,alexanders-mbp.lan,192.168.86.250,2048.4533054828644,0,9,2ffd1_00005,"[-19.798150526933146, -74.94291487486778, -31.517304067022966, -30.592156910440917, -22.20115444830449, -26.12937174183634, -22.303491182122524, -20.7797146125588, -21.446393086927397]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.5353245753012215,0.8613012753510295,1.552366963068685,0.19461702859739136,9.008,28418.123,6.63,22500,5376256,22500,21001,77.87507331378299,57.57331378299119,-0.11110456,0.0656922,-0.4887082
-17.29234241450748,-74.94291487486778,-28.70029938655219,2352.0,1,1,25000,False,10,10,dc3cd53d205a480f95c4827b87254a10,2021-04-04_21-01-32,1617566492,241.15818071365356,2289.611486196518,54563,alexanders-mbp.lan,192.168.86.250,2289.611486196518,0,10,2ffd1_00005,"[-17.29234241450748, -74.94291487486778, -31.517304067022966, -30.592156910440917, -22.20115444830449, -26.12937174183634, -22.303491182122524, -20.7797146125588, -21.446393086927397, -19.798150526933146]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.5409342636819425,0.862990516739778,1.557741114704913,0.19522624111697945,11.602,22065.757,5.497,25000,6016256,25000,23501,82.72558823529411,57.73470588235295,-0.10559282,0.057392508,-0.33910668
