,datetime,charge_solar,charge_load,discharge_size,current_solar,current_controlled_load_consumption,current_general_electricity_consumption,current_charge
0,2013-01-14 00:00:00,0.20000000298023224,0.026211630553007126,0.03830443695187569,0.0,0.0,0.073,0.0
1,2013-01-14 00:30:00,0.09749897569417953,0.0614374540746212,0.03229823336005211,0.0,0.0,0.115,0.029139220714569092
2,2013-01-14 01:00:00,0.14366690814495087,0.1723341941833496,0.05327408015727997,0.0,1.094,0.024,0.14672591984272004
3,2013-01-14 01:30:00,0.0,0.20000000298023224,0.005709878169000149,0.0,1.263,0.126,0.19429012183099986
4,2013-01-14 02:00:00,0.17982275784015656,0.02079635113477707,0.0,0.0,1.25,0.319,0.2
5,2013-01-14 02:30:00,0.013470444828271866,0.015485215000808239,0.0,0.0,0.356,0.055,0.2
6,2013-01-14 03:00:00,0.09941169619560242,0.06450244039297104,0.07175818830728531,0.0,0.669,0.1889999999999999,0.1282418116927147
7,2013-01-14 03:30:00,0.02492460049688816,0.01769298128783703,0.08018487691879272,0.0,0.45,0.7390000000000001,0.065749916061759
8,2013-01-14 04:00:00,0.03221382945775986,0.20000000298023224,0.022513972595334053,0.0,0.0,0.7559999999999999,0.17748602740466596
9,2013-01-14 04:30:00,0.15917059779167175,0.018294010311365128,0.1916537880897522,0.0,0.444,0.083,0.004126249626278888
10,2013-01-14 05:00:00,0.20000000298023224,0.002867422066628933,0.19229406118392944,0.0,0.513,0.364,0.0
11,2013-01-14 05:30:00,0.1927724927663803,0.20000000298023224,0.16836538910865784,0.0,0.0,0.823,0.031634610891342174
12,2013-01-14 06:00:00,0.1659197211265564,0.20000000298023224,0.19004914164543152,0.0,0.0,0.6729999999999999,0.009950858354568493
13,2013-01-14 06:30:00,0.0160351675003767,0.20000000298023224,0.20000000298023224,0.0,0.0,0.833,0.0
14,2013-01-14 07:00:00,0.15347778797149658,0.19534064829349518,0.20000000298023224,0.05,0.0,0.848,0.0
15,2013-01-14 07:30:00,0.0,0.1920575350522995,0.19869489967823029,0.106,0.0,0.7659999999999999,0.0
16,2013-01-14 08:00:00,0.013512124307453632,0.19172914326190948,0.20000000298023224,0.206,0.0,0.855,0.0
17,2013-01-14 08:30:00,0.006519497837871313,0.19229157269001007,0.20000000298023224,0.238,0.0,0.122,0.11718893245235085
18,2013-01-14 09:00:00,0.20000000298023224,0.0417928546667099,0.1983562409877777,0.213,0.0,0.292,0.044829277448356186
19,2013-01-14 09:30:00,0.00164762232452631,0.1639590561389923,0.20000000298023224,0.238,0.0,0.104,0.2
20,2013-01-14 10:00:00,0.0,0.0,0.20000000298023224,0.4629999999999999,0.0,0.282,0.2
21,2013-01-14 10:30:00,0.029279030859470367,0.05506692826747894,0.20000000298023224,0.363,0.0,0.2689999999999999,0.2
22,2013-01-14 11:00:00,0.056635841727256775,0.12558573484420776,0.20000000298023224,1.131,0.0,1.15,0.0
23,2013-01-14 11:30:00,0.1977483630180359,0.012428050860762596,0.20000000298023224,1.519,0.0,0.624,0.2
24,2013-01-14 12:00:00,0.0,0.176660418510437,0.20000000298023224,1.619,0.0,0.158,0.2
25,2013-01-14 12:30:00,0.0,0.14683452248573303,0.0017825191607698798,1.538,0.0,0.379,0.2
26,2013-01-14 13:00:00,0.002237314358353615,0.07453413307666779,0.0008103686268441379,1.763,0.0,0.145,0.2
27,2013-01-14 13:30:00,0.0,0.15143075585365295,0.0,1.781,0.0,0.0579999999999999,0.2
28,2013-01-14 14:00:00,0.0,0.17170587182044983,0.003924408927559853,1.769,0.0,0.099,0.2
29,2013-01-14 14:30:00,0.0,0.17739565670490265,0.0,1.719,0.0,0.122,0.2
30,2013-01-14 15:00:00,0.0,0.1682332307100296,0.0,1.663,0.0,0.036,0.2
31,2013-01-14 15:30:00,0.0063214171677827835,0.17441803216934204,0.0,1.519,0.0,0.619,0.2
32,2013-01-14 16:00:00,0.018309520557522774,0.1035470962524414,0.0,1.138,0.0,0.135,0.2
33,2013-01-14 16:30:00,0.009419062174856663,0.08759184926748276,0.0,1.075,0.0,0.081,0.2
34,2013-01-14 17:00:00,0.009581120684742928,0.05768442898988724,0.0,0.525,0.0,0.25,0.2
35,2013-01-14 17:30:00,0.0350225530564785,0.15936385095119476,0.16440464556217194,0.863,0.0,0.161,0.2
36,2013-01-14 18:00:00,0.07027924060821533,0.0938938781619072,0.006621530745178461,0.775,0.0,0.146,0.2
37,2013-01-14 18:30:00,0.04762423783540726,0.03227073699235916,0.0781601071357727,0.188,0.0,0.154,0.1541050251722336
38,2013-01-14 19:00:00,0.019950082525610924,0.046780526638031006,0.20000000298023224,0.106,0.0,0.437,0.0
39,2013-01-14 19:30:00,0.20000000298023224,0.038540277630090714,0.20000000298023224,0.063,0.0,0.218,0.0
40,2013-01-14 20:00:00,0.057074740529060364,0.026689955964684486,0.18899846076965332,0.019,0.0,0.241,0.0
41,2013-01-14 20:30:00,0.14075443148612976,0.19496458768844604,0.15443016588687897,0.0,0.0,0.1369999999999999,0.04053442180156708
42,2013-01-14 21:00:00,0.15728111565113068,0.19479411840438843,0.13338667154312134,0.0,0.0,0.249,0.07513703799247745
43,2013-01-14 21:30:00,0.16665737330913544,0.1531108021736145,0.14815765619277954,0.0,0.0,0.318,0.05184234380722047
44,2013-01-14 22:00:00,0.20000000298023224,0.18732978403568268,0.18338754773139954,0.0,0.0,0.231,0.0779855283498764
45,2013-01-14 22:30:00,0.15951606631278992,0.14430038630962372,0.13960644602775574,0.0,0.0,0.396,0.060393553972244274
