,datetime,charge_solar,charge_load,discharge_size,current_solar,current_controlled_load_consumption,current_general_electricity_consumption,current_charge
0,2012-01-08 00:30:00,0.0,1.0,0.0,0.0,1.25,0.109,1.0
1,2012-01-08 01:00:00,0.574403703212738,0.07571098208427429,0.0,0.0,1.238,0.299,1.0
2,2012-01-08 01:30:00,0.9649624228477478,0.2827950716018677,0.813984751701355,0.0,1.256,0.375,0.18601524829864502
3,2012-01-08 02:00:00,0.2380250096321106,1.0,0.616951584815979,0.0,1.15,0.978,0.383048415184021
4,2012-01-08 02:30:00,0.7546085119247437,0.8428173661231995,0.7563564777374268,0.0,0.131,1.027,0.24364352226257324
5,2012-01-08 03:00:00,0.0,0.9882356524467468,0.950750470161438,0.0,1.163,1.041,0.04924952983856201
6,2012-01-08 03:30:00,0.04872667416930199,0.9841616153717041,0.7965990900993347,0.0,0.0,1.918,0.20340090990066528
7,2012-01-08 04:00:00,0.4517994523048401,1.0,0.9616960883140564,0.0,0.806,1.215,0.038303911685943604
8,2012-01-08 04:30:00,0.655190646648407,0.15989848971366882,0.502921998500824,0.0,0.219,0.071,0.053023508787155185
9,2012-01-08 05:00:00,0.7810057401657104,0.041202593594789505,0.949774980545044,0.0,0.0,0.157,0.7515723869502544
10,2012-01-08 05:30:00,0.5669953227043152,0.3238614499568939,0.7799274921417236,0.0,0.35,0.89,0.22007250785827637
11,2012-01-08 06:00:00,0.0,1.0,0.5618540644645691,0.0,0.563,0.116,0.8808549842834473
12,2012-01-08 06:30:00,0.07219922542572021,0.04463678225874901,0.9667692184448242,0.0,0.0,0.047,0.8751324361860752
13,2012-01-08 07:00:00,0.1977529674768448,0.03426749259233475,0.9712182283401489,0.0,0.0,0.175,0.7619507357478141
14,2012-01-08 07:30:00,0.534917414188385,0.34342843294143677,0.7737786173820496,0.019,0.0,0.145,0.9496700955629349
15,2012-01-08 08:00:00,0.2675151526927948,0.01896085776388645,0.9304493069648743,0.025,0.0,0.641,0.3336700955629349
16,2012-01-08 08:30:00,0.8444610834121704,0.9436637163162231,0.7912710905075073,0.075,0.0,0.094,1.0
17,2012-01-08 09:00:00,0.0,0.0004073193413205445,0.9695324897766113,0.056,0.0,0.433,0.6225926806586795
18,2012-01-08 09:30:00,0.5673782229423523,0.5083916783332825,0.7762006521224976,0.263,0.0,0.113,0.6074229603493586
19,2012-01-08 10:00:00,0.22821970283985138,0.045135702937841415,0.4935370683670044,0.569,0.0,0.133,1.0
20,2012-01-08 10:30:00,0.8349071741104126,0.0563223622739315,0.980118453502655,0.788,0.0,0.311,0.6326776377260686
21,2012-01-08 11:00:00,0.9803014397621155,0.9254462718963623,0.9775869250297546,0.913,0.0,0.136,0.30587609037756913
22,2012-01-08 11:30:00,0.001558054005727172,0.05092565715312958,0.027452165260910988,1.0,0.0,0.773,0.5328760903775691
23,2012-01-08 12:00:00,0.0060189226642251015,1.0,0.9789400100708008,1.113,0.0,1.072,0.9571910512521864
24,2012-01-08 12:30:00,0.0,0.03732655942440033,0.9717018604278564,1.231,0.0,0.995,1.0
25,2012-01-08 13:00:00,0.0,0.03286238759756088,0.982940137386322,1.144,0.0,1.203,0.9081376124024392
26,2012-01-08 13:30:00,0.0,1.0,0.9911457300186157,0.563,0.0,0.227,0.5197247751951216
27,2012-01-08 14:00:00,0.21149197220802307,0.632633626461029,0.8798643946647644,0.381,0.0,0.403,0.6714409065246584
28,2012-01-08 14:30:00,0.4125721752643585,0.9756947159767151,0.9104693531990051,0.488,0.0,0.177,0.5798512957096096
29,2012-01-08 15:00:00,0.12609316408634186,0.21328827738761902,0.932228684425354,0.619,0.0,1.087,0.12484724295139316
30,2012-01-08 15:30:00,0.0,1.0,1.0,0.888,0.0,1.45,1.0
31,2012-01-08 16:00:00,0.0,0.05812322720885277,1.0,0.531,0.0,1.188,0.2848767727911474
32,2012-01-08 16:30:00,0.006686218548566103,1.0,0.9891670942306519,0.256,0.0,1.986,0.010832905769348145
33,2012-01-08 17:00:00,0.0,0.07150005549192429,0.9905747771263123,0.031,0.0,1.694,0.0
34,2012-01-08 17:30:00,0.18060505390167236,0.053526248782873154,0.9715583324432373,0.0,0.0,1.224,0.0
35,2012-01-08 18:00:00,0.0,0.050238221883773804,0.9996599555015564,0.0,0.0,0.27,0.6794217336177826
36,2012-01-08 18:30:00,0.030315935611724854,0.39000824093818665,0.8493552207946777,0.0,0.0,0.325,0.9261482918262482
37,2012-01-08 19:00:00,0.6690930128097534,0.15206363797187805,0.7328061461448669,0.0,0.0,0.161,0.8346397783756254
38,2012-01-08 19:30:00,0.44159892201423645,0.30950140953063965,0.857999861240387,0.0,0.0,0.341,0.6802190337181095
39,2012-01-08 20:00:00,0.2416142374277115,0.534504771232605,0.8037090301513672,0.0,0.0,0.436,0.669057161331176
40,2012-01-08 20:30:00,0.2264755368232727,0.4173811376094818,0.7953466176986694,0.0,0.0,0.289,0.9555045397281663
41,2012-01-08 21:00:00,0.6412424445152283,0.15952253341674805,0.6514685750007629,0.0,0.0,0.241,0.6884683871269194
42,2012-01-08 21:30:00,0.0896049439907074,0.4416150748729706,0.794355034828186,0.0,0.0,0.264,0.9174481508731908
43,2012-01-08 22:00:00,0.34694111347198486,0.2565939426422119,0.6950278282165527,0.0,0.0,0.409,0.4995097556114066
44,2012-01-08 22:30:00,0.23673787713050842,0.6268225908279419,0.7508419156074524,0.0,0.0,0.666,0.708157897949245
45,2012-01-08 23:00:00,0.7992476224899292,0.206107497215271,0.9032807946205139,0.0,0.0,0.857,0.010984600544002077
