episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-96.06107307045721,-96.06107307045721,-96.06107307045721,2352.0,1,1,2500,2500,False,1,1,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-02-38,1617296558,68.68391585350037,68.68391585350037,15301,alexanders-mbp.lan,192.168.86.244,68.68391585350037,0,1,ddc80_00001,[-96.06107307045721],[2352],0.5687893223447925,1.105690326561026,0.14885698781400525,1.5416516155683724,0.0,4.943,51786.026,4.028,2500,2500,256256,256256,2500,1001,80.87040816326531,62.37755102040816,-0.12933296,0.010578894,-0.40415826
-33.62831462099349,-96.06107307045721,-64.84469384572535,2352.0,1,1,5000,5000,False,2,2,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-05-17,1617296717,158.21518278121948,226.89909863471985,15301,alexanders-mbp.lan,192.168.86.244,226.89909863471985,0,2,ddc80_00001,"[-33.62831462099349, -96.06107307045721]","[2352, 2352]",0.5832650790825276,1.129691621267053,0.15269729449258862,1.5407846642947445,0.0,4.242,60355.804,3.282,5000,5000,896256,896256,5000,3501,75.64999999999999,61.105357142857144,-0.19470279,-0.067393355,-0.58353376
-31.382910320954792,-96.06107307045721,-53.69076600413516,2352.0,1,1,7500,7500,False,3,3,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-08-09,1617296889,172.16769528388977,399.0667939186096,15301,alexanders-mbp.lan,192.168.86.244,399.0667939186096,0,3,ddc80_00001,"[-31.382910320954792, -96.06107307045721, -33.62831462099349]","[2352, 2352, 2352]",0.5985493564825128,1.1518959959022244,0.1561878280241468,1.55039710719901,0.0,4.111,62276.951,2.98,7500,7500,1536256,1536256,7500,6001,82.43251028806586,61.251028806584365,-0.23215055,-0.049114913,-0.5750472
-31.382910320954792,-96.06107307045721,-51.40152861750066,2352.0,1,1,10000,10000,False,4,4,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-11-12,1617297072,183.17391109466553,582.2407050132751,15301,alexanders-mbp.lan,192.168.86.244,582.2407050132751,0,4,ddc80_00001,"[-44.53381645759713, -96.06107307045721, -33.62831462099349, -31.382910320954792]","[2352, 2352, 2352, 2352]",0.6176798245239632,1.1722050271327116,0.1591021535485332,1.5650864563359344,0.0,4.871,52555.827,4.407,10000,10000,2176256,2176256,10000,8501,78.55752895752896,61.449034749034745,-0.23930997,-0.04846815,-0.6851516
-31.382910320954792,-96.06107307045721,-48.424049998194775,2352.0,1,1,12500,12500,False,5,5,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-14-12,1617297252,179.65827202796936,761.8989770412445,15301,alexanders-mbp.lan,192.168.86.244,761.8989770412445,0,5,ddc80_00001,"[-36.514135520971266, -96.06107307045721, -33.62831462099349, -31.382910320954792, -44.53381645759713]","[2352, 2352, 2352, 2352, 2352]",0.6297311113939114,1.1883038006063766,0.16132490545111214,1.5769152476946373,0.0,4.574,55972.446,3.067,12500,12500,2816256,2816256,12500,11001,76.97960784313725,61.815294117647056,-0.24589345,0.10548295,-0.5713802
-29.983261749122434,-96.06107307045721,-45.350585290016056,2352.0,1,1,15000,15000,False,6,6,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-17-12,1617297432,180.07222175598145,941.971198797226,15301,alexanders-mbp.lan,192.168.86.244,941.971198797226,0,6,ddc80_00001,"[-29.983261749122434, -96.06107307045721, -33.62831462099349, -31.382910320954792, -44.53381645759713, -36.514135520971266]","[2352, 2352, 2352, 2352, 2352, 2352]",0.6380715867668784,1.2012790525412531,0.16305197638573166,1.5866405726068535,0.0,6.92,36995.856,5.461,15000,15000,3456256,3456256,15000,13501,76.1244094488189,61.79094488188977,-0.27280736,0.045327842,-0.6808379
-29.983261749122434,-96.06107307045721,-43.477160977760875,2352.0,1,1,17500,17500,False,7,7,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-20-19,1617297619,186.86044311523438,1128.8316419124603,15301,alexanders-mbp.lan,192.168.86.244,1128.8316419124603,0,7,ddc80_00001,"[-32.23661510422977, -96.06107307045721, -33.62831462099349, -31.382910320954792, -44.53381645759713, -36.514135520971266, -29.983261749122434]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.64538355839583,1.212757894253539,0.1645871464042778,1.595968413462845,0.0,4.047,63255.05,3.397,17500,17500,4096256,4096256,17500,16001,79.41622641509434,62.29924528301886,-0.27827471,0.014357924,-0.6813133
-29.983261749122434,-96.06107307045721,-42.13601840135725,2352.0,1,1,20000,20000,False,8,8,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-23-32,1617297812,192.29587364196777,1321.127515554428,15301,alexanders-mbp.lan,192.168.86.244,1321.127515554428,0,8,ddc80_00001,"[-32.74802036653186, -96.06107307045721, -33.62831462099349, -31.382910320954792, -44.53381645759713, -36.514135520971266, -29.983261749122434, -32.23661510422977]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6518069896139418,1.2227796647187843,0.16597187805067948,1.604745128140069,0.0,4.73,54122.507,3.729,20000,20000,4736256,4736256,20000,18501,68.67666666666666,62.73407407407408,-0.2678365,-0.013845831,-0.72477466
-29.983261749122434,-96.06107307045721,-40.82248444312296,2352.0,1,1,22500,22500,False,9,9,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-26-44,1617298004,192.01096415519714,1513.1384797096252,15301,alexanders-mbp.lan,192.168.86.244,1513.1384797096252,0,9,ddc80_00001,"[-30.314212777248645, -96.06107307045721, -33.62831462099349, -31.382910320954792, -44.53381645759713, -36.514135520971266, -29.983261749122434, -32.23661510422977, -32.74802036653186]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6572358221708672,1.231296984078065,0.1671527856013292,1.6126045466256902,0.0,3.929,65158.981,3.892,22500,22500,5376256,5376256,22500,21001,68.65955882352942,62.9202205882353,-0.2796751,0.006177537,-0.72102153
-27.916201311265677,-96.06107307045721,-39.53185612993723,2352.0,1,1,25000,25000,False,10,10,e71287cf399640a5a69a0c50f4f30652,2021-04-01_18-29-52,1617298192,188.14706802368164,1701.2855477333069,15301,alexanders-mbp.lan,192.168.86.244,1701.2855477333069,0,10,ddc80_00001,"[-27.916201311265677, -96.06107307045721, -33.62831462099349, -31.382910320954792, -44.53381645759713, -36.514135520971266, -29.983261749122434, -32.23661510422977, -32.74802036653186, -30.314212777248645]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6616600754817047,1.238394548045828,0.16813540656997833,1.6191819886614867,0.0,4.983,51370.291,3.505,25000,25000,6016256,6016256,25000,23501,81.39924812030075,62.358270676691724,-0.28039223,0.036555685,-0.7403529
