episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q
-84.77763700905012,-84.77763700905012,-84.77763700905012,2352.0,1,1,2500,2500,False,1,1,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_01-54-59,1617324899,89.32065010070801,89.32065010070801,69544,alexanders-mbp.lan,192.168.86.244,89.32065010070801,0,1,ddc80_00046,[-84.77763700905012],[2352],0.7007620612033507,1.329744496091944,0.17547073577795444,1.843881721450824,0.0,12.688,20175.798,4.197,2500,2500,256256,256256,2500,1001,78.69291338582678,57.34094488188977,-0.17307383,-0.061516833,-0.32768443
-30.74099795876495,-84.77763700905012,-57.75931748390754,2352.0,1,1,5000,5000,False,2,2,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_01-58-36,1617325116,216.48995089530945,305.81060099601746,69544,alexanders-mbp.lan,192.168.86.244,305.81060099601746,0,2,ddc80_00046,"[-30.74099795876495, -84.77763700905012]","[2352, 2352]",0.701379709039816,1.3280654675182275,0.17606728227087137,1.7976283216524163,0.0,23.559,10866.325,6.439,5000,5000,896256,896256,5000,3501,80.65770491803278,57.544262295081964,-0.23096286,-0.05999529,-0.627861
-30.74099795876495,-84.77763700905012,-50.5619294388714,2352.0,1,1,7500,7500,False,3,3,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-02-33,1617325353,236.66098713874817,542.4715881347656,69544,alexanders-mbp.lan,192.168.86.244,542.4715881347656,0,3,ddc80_00046,"[-36.167153348799125, -84.77763700905012, -30.74099795876495]","[2352, 2352, 2352]",0.7012249621774361,1.325272744182935,0.1763932865214727,1.7714554832369782,0.0,26.374,9706.448,4.144,7500,7500,1536256,1536256,7500,6001,81.47820895522388,56.84597014925374,-0.2311165,-0.036945555,-0.616221
-28.657704635253463,-84.77763700905012,-45.085873237966915,2352.0,1,1,10000,10000,False,4,4,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-06-24,1617325584,230.69318103790283,773.1647691726685,69544,alexanders-mbp.lan,192.168.86.244,773.1647691726685,0,4,ddc80_00046,"[-28.657704635253463, -84.77763700905012, -30.74099795876495, -36.167153348799125]","[2352, 2352, 2352, 2352]",0.7005135220178457,1.3222735874727474,0.17657884989142897,1.7540064412260734,0.0,21.538,11885.932,5.443,10000,10000,2176256,2176256,10000,8501,80.37138461538461,56.95569230769232,-0.26570094,-0.047654614,-0.6275506
-28.657704635253463,-84.77763700905012,-42.011178748886465,2352.0,1,1,12500,12500,False,5,5,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-10-03,1617325803,219.59444570541382,992.7592148780823,69544,alexanders-mbp.lan,192.168.86.244,992.7592148780823,0,5,ddc80_00046,"[-29.71240079256467, -84.77763700905012, -30.74099795876495, -36.167153348799125, -28.657704635253463]","[2352, 2352, 2352, 2352, 2352]",0.6996661871944758,1.3197981786623116,0.1766935912669126,1.7408716439950738,0.0,17.577,14564.247,3.907,12500,12500,2816256,2816256,12500,11001,81.78129032258065,57.250645161290336,-0.24853939,-0.029457418,-0.53470623
-28.657704635253463,-84.77763700905012,-40.71238141675024,2352.0,1,1,15000,15000,False,6,6,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-13-38,1617326018,213.84995412826538,1206.6091690063477,69544,alexanders-mbp.lan,192.168.86.244,1206.6091690063477,0,6,ddc80_00046,"[-34.2183947560691, -84.77763700905012, -30.74099795876495, -36.167153348799125, -28.657704635253463, -29.71240079256467]","[2352, 2352, 2352, 2352, 2352, 2352]",0.6989244636548541,1.3181784672824415,0.17685245048318585,1.7309942836738825,0.0,16.68,15347.786,4.689,15000,15000,3456256,3456256,15000,13501,73.29503311258277,57.85761589403973,-0.27175397,0.0005483255,-0.6497658
-28.657704635253463,-84.77763700905012,-39.09823858544842,2352.0,1,1,17500,17500,False,7,7,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-17-08,1617326228,209.7894048690796,1416.3985738754272,69544,alexanders-mbp.lan,192.168.86.244,1416.3985738754272,0,7,ddc80_00046,"[-29.413381597637553, -84.77763700905012, -30.74099795876495, -36.167153348799125, -28.657704635253463, -29.71240079256467, -34.2183947560691]","[2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6983180124562695,1.3173452231675367,0.1770120237145502,1.7234945451309012,0.0,15.713,16292.143,4.896,17500,17500,4096256,4096256,17500,16001,71.86734006734007,57.945117845117835,-0.26981866,0.025582567,-0.6596997
-28.657704635253463,-84.77763700905012,-37.95309705536017,2352.0,1,1,20000,20000,False,8,8,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-20-34,1617326434,205.78006410598755,1622.1786379814148,69544,alexanders-mbp.lan,192.168.86.244,1622.1786379814148,0,8,ddc80_00046,"[-29.93710634474233, -84.77763700905012, -30.74099795876495, -36.167153348799125, -28.657704635253463, -29.71240079256467, -34.2183947560691, -29.413381597637553]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6977719351257609,1.3167563197936536,0.17714338842907112,1.7174996843054682,0.0,12.633,20264.786,5.386,20000,20000,4736256,4736256,20000,18501,75.14827586206897,57.750344827586204,-0.26671273,0.011932775,-0.61320245
-28.657704635253463,-84.77763700905012,-36.99354476488601,2352.0,1,1,22500,22500,False,9,9,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-24-00,1617326640,205.88825821876526,1828.06689620018,69544,alexanders-mbp.lan,192.168.86.244,1828.06689620018,0,9,ddc80_00046,"[-29.31712644109274, -84.77763700905012, -30.74099795876495, -36.167153348799125, -28.657704635253463, -29.71240079256467, -34.2183947560691, -29.413381597637553, -29.93710634474233]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6974270346104297,1.3163177920235694,0.1772711180042179,1.7126672190940135,0.0,10.173,25164.625,4.808,22500,22500,5376256,5376256,22500,21001,69.87931034482759,57.62000000000001,-0.2655459,0.025498204,-0.6259168
-26.189481421011653,-84.77763700905012,-35.91313843049857,2352.0,1,1,25000,25000,False,10,10,6e5c17e8d6314d1c8e1d97861c0598b5,2021-04-02_02-27-19,1617326839,198.8867290019989,2026.953625202179,69544,alexanders-mbp.lan,192.168.86.244,2026.953625202179,0,10,ddc80_00046,"[-26.189481421011653, -84.77763700905012, -30.74099795876495, -36.167153348799125, -28.657704635253463, -29.71240079256467, -34.2183947560691, -29.413381597637553, -29.93710634474233, -29.31712644109274]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",0.6970677710217527,1.315763776569488,0.1773461057424342,1.7083673149489744,0.0,10.693,23940.839,3.984,25000,25000,6016256,6016256,25000,23501,77.19750889679716,57.74875444839858,-0.28269777,-0.014667474,-0.6146159
