,episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_env_wait_ms,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/mean_q,info/learner/default_policy/max_q,info/learner/default_policy/min_q,battery_size,lr
10,-7.598251149646193,-88.56377172993342,-17.632774533715867,2352.0,1,1,27500,False,11,11,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-16-10,1617099370,233.8060338497162,2421.2485253810887,96743,alexanders-mbp.lan,192.168.86.244,2421.2485253810887,0,11,46521_00006,"[-7.598251149646193, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.3732058860084124,0.7970695136355992,1.5121912406506004,0.1912829196400213,10.366,24695.642000000003,5.307,27500,6656256,27500,26001,79.0130303030303,59.56212121212121,-0.23983960000000001,-0.10896696,-0.6227403,1.4,0.01
11,-7.598251149646193,-88.56377172993342,-16.806858281792525,2352.0,1,1,30000,False,12,12,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-20-08,1617099608,237.68221592903137,2658.93074131012,96743,alexanders-mbp.lan,192.168.86.244,2658.93074131012,0,12,46521_00006,"[-7.721779510635724, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.3818947388706087,0.8005845733516431,1.5184177345243022,0.1919116463920223,11.030999999999999,23206.857000000004,6.19,30000,7296256,30000,28501,79.75492537313433,59.17880597014926,-0.23890474,-0.11750688,-0.644586,1.4,0.01
12,-7.598251149646193,-88.56377172993342,-16.141081363602463,2352.0,1,1,32500,False,13,13,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-24-06,1617099846,237.22854495048526,2896.159286260605,96743,alexanders-mbp.lan,192.168.86.244,2896.159286260605,0,13,46521_00006,"[-8.15175834532173, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.3893821092045324,0.8034530071146841,1.52381784794978,0.1924438079461374,9.97,25676.117000000002,5.587000000000001,32500,7936256,32500,31001,82.44910179640719,59.799700598802396,-0.24381293,-0.12184526,-0.47155976,1.4,0.01
13,-7.598251149646193,-88.56377172993342,-15.594537933476856,2352.0,1,1,35000,False,14,14,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-28-02,1617100082,235.99529194831848,3132.1545782089233,96743,alexanders-mbp.lan,192.168.86.244,3132.1545782089233,0,14,46521_00006,"[-8.489473341843963, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.395827178864576,0.8059153109148625,1.5283819484863517,0.19288513715612307,9.136000000000001,28019.818,5.401,35000,8576256,35000,33501,73.04264264264266,60.761561561561564,-0.23626073,-0.12229131,-0.5087997000000001,1.4,0.01
14,-7.548127854055383,-88.56377172993342,-15.058110594848756,2352.0,1,1,37500,False,15,15,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-32-01,1617100321,238.3482530117035,3370.502831220627,96743,alexanders-mbp.lan,192.168.86.244,3370.502831220627,0,15,46521_00006,"[-7.548127854055382, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173, -8.489473341843963]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.4016153084714964,0.8079180518960454,1.5324694520618194,0.1932774925279964,7.64,33509.927,4.428999999999999,37500,9216256,37500,36001,79.00982142857143,60.950595238095225,-0.23525776,-0.12622726,-0.5530465999999999,1.4,0.01
15,-7.009545735252762,-88.56377172993342,-14.115082187484534,2352.0,2,1,40000,False,17,16,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-35-57,1617100557,235.7514021396637,3606.2542333602905,96743,alexanders-mbp.lan,192.168.86.244,3606.2542333602905,0,16,46521_00006,"[-7.075192529252896, -7.009545735252761, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173, -8.489473341843963, -7.548127854055382]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.4113692147507844,0.8137738351261424,1.539428114237594,0.19393388168963985,9.169,27918.695,4.824,40000,9856256,40000,38501,76.4936936936937,61.67537537537537,-0.24775383,-0.14397721,-0.47353244,1.4,0.01
16,-7.009545735252762,-88.56377172993342,-13.731266209151132,2352.0,1,1,42500,False,18,17,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-39-51,1617100791,234.42849326133728,3840.682726621628,96743,alexanders-mbp.lan,192.168.86.244,3840.682726621628,0,17,46521_00006,"[-7.206394577483386, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173, -8.489473341843963, -7.548127854055382, -7.075192529252896, -7.009545735252761]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.4155067859468677,0.8161101106888029,1.5423462180938,0.19420082481131065,7.721,33157.168,6.435,42500,10496256,42500,41001,78.0230303030303,59.69121212121212,-0.24484499,-0.13661600000000002,-0.50801265,1.4,0.01
17,-7.009545735252762,-88.56377172993342,-13.389668748030946,2352.0,1,1,45000,False,19,18,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-43-43,1617101023,231.4668209552765,4072.1495475769043,96743,alexanders-mbp.lan,192.168.86.244,4072.1495475769043,0,18,46521_00006,"[-7.2409144478676035, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173, -8.489473341843963, -7.548127854055382, -7.075192529252896, -7.009545735252761, -7.206394577483386]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.4191379799358863,0.8180583931836529,1.5449183727898588,0.19443598817878707,6.375,40158.797,4.351,45000,11136256,45000,43501,77.98379204892967,59.95045871559634,-0.24922419,-0.1407372,-0.46217179999999997,1.4,0.01
18,-6.950538717634681,-88.56377172993342,-13.067712246511135,2352.0,1,1,47500,False,20,19,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-47-32,1617101252,228.91657900810242,4301.066126585007,96743,alexanders-mbp.lan,192.168.86.244,4301.066126585007,0,19,46521_00006,"[-6.950538717634681, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173, -8.489473341843963, -7.548127854055382, -7.075192529252896, -7.009545735252761, -7.206394577483386, -7.2409144478676035]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.422311736821543,0.819643508386514,1.547125507623487,0.1946359806244488,8.064,31746.283,4.312,47500,11776256,47500,46001,76.08173374613003,59.39690402476779,-0.2527312,-0.14358856,-0.63727194,1.4,0.01
19,-6.950538717634681,-88.56377172993342,-12.791950629358,2352.0,1,1,50000,False,21,20,da3eecee4c07447f88216070c5a73fe0,2021-03-30_11-51-19,1617101479,226.4913890361786,4527.557515621185,96743,alexanders-mbp.lan,192.168.86.244,4527.557515621185,0,20,46521_00006,"[-7.2767182862953, -88.56377172993342, -15.194133391546382, -12.577837243427812, -11.458300448452116, -12.170260156391244, -8.244665452758747, -9.801700089254451, -9.701377514997583, -10.190868081596513, -8.459354612870092, -7.598251149646193, -7.721779510635724, -8.15175834532173, -8.489473341843963, -7.548127854055382, -7.075192529252896, -7.009545735252761, -7.206394577483386, -7.2409144478676035, -6.950538717634681]","[2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352, 2352]",2.4250813675234664,0.820980817289548,1.5490528450130054,0.19480640404647095,8.316,30785.118,4.762,50000,12416256,50000,48501,74.51191222570533,59.14200626959246,-0.2529381,-0.14784652,-0.48406726,1.4,0.01
